Q#,R#,Questions and Responses,Filter Rules,,,,,,,
,,,,,,,,,,
1,,Where is your organization on its open source journey? (select all that apply),,,,,,,,
,1,Consuming open source code in products or services,Keep,,,,,,,
,2,Contributing to upstream open source projects,Keep,,,,,,,
,3,Influencing open source projects via leadership or maintainer roles,Keep,,,,,,,
,4,Initiating or releasing open source projects,Keep,,,,,,,
,5,Collaborating with peers across open source projects and/or foundations,Keep,,,,,,,
,6,Not involved in open source,Screened Out of Survey,,,,,,,
,7,Don't know or not applicable,Screened Out of Survey,,,,,,,
,,,,,,,,,,
2,,"How many people work for your organization? If you are employed by a software integrator or consulting firm, or self employed, answer on behalf of the most current client you are primarily working for. (select one)",Keep,,,,,,,
,1,Under 10,Keep,,,,,,,
,2,11 to 49,Keep,,,,,,,
,3,50 to 249,Keep,,,,,,,
,4,250 to 999,Keep,,,,,,,
,5,"1,000 to 9,999",Keep,,,,,,,
,6,"10,000 to 19,999",Keep,,,,,,,
,7,"20,000 or more",Keep,,,,,,,
,8,"I am currently unemployed, a full-time student or retired",Screened Out of Survey,,,,,,,
,,,,,,,,,,
Filter Criteria for Multiple Entries for Organization,,Filter Criteria,,,,,,,,
,1,Primary organization based on name,Keep,,,,,,,
,2,Secondary organization based on name,Filter Out,,,,,,,
,3,Primary organization based on IP address,Keep,,,,,,,
,4,Secondary organization based IP address,Filter Out,,,,,,,
